,Date,Score,Review
42,5 marca 2026,1,"Producten zijn prima. Maar de klantenservice is echt de aller slechtste klantenservice die ik heb meegemaakt. Product op basis van promotie aangeschaft. Promotie was een extra batterij voor een stofzuiger. 2x verkeerde batterij ontvangen, nul empathie, geen reactie van hun 'interne afdeling', geen /te late reactie op een ingediende klacht, ticket/case die niet wordt bijgewerkt. Alles wat je als fatsoenlijke klantenservice moet doen, werd niet gedaan. Echt tenenkrommend."
43,4 marca 2026,1,"J’ai acheté un téléviseur Samsung QE55Q67A en août 2022 pour environ 700 €.Après seulement 2 ans et demi, une ligne verticale bleue sur toute la hauteur de l’écran est apparue du jour au lendemain, sans choc ni mauvaise utilisation. La télévision est aujourd’hui pratiquement inutilisable.Après avoir contacté le support Samsung et transmis les photos demandées, la seule réponse obtenue est que l’écran serait “cassé” et que, la garantie étant terminée, aucune participation ni solution ne sera proposée.Je trouve cette réponse particulièrement décevante pour une marque qui se positionne comme premium.Un téléviseur à ce prix est censé durer bien plus que deux ans et demi.Ce qui est encore plus regrettable, c’est l’absence totale de recherche de solution :aucun diagnostic sérieux, aucun geste commercial, aucune volonté d’aider un client confronté à une panne manifestement prématurée.Cette situation est d’autant plus dommageable que je dirige une entreprise et que nous étions justement en train d’étudier le renouvellement d’un parc de téléphones professionnels, en regardant notamment les derniers modèles Samsung.De son côté, ma femme tient un restaurant et envisageait également de s’équiper en produits Samsung pour certains équipements.Après cette expérience avec le service client, nous sommes aujourd’hui plusieurs à nous poser sérieusement la question de la fiabilité et du suivi de la marque avant de faire ces achats.C’est vraiment regrettable, car j’appréciais jusqu’ici les produits Samsung.J’espère néanmoins que la marque prendra en considération ce dossier et proposera une solution raisonnable, car une panne de dalle après seulement 2 ans et demi ne correspond pas à ce que l’on attend d’un produit de cette gamme."
44,5 marca 2026,1,Replacement inner screen for flip 6 costs between £300 and £400 because Samsung overcharge for their screens. That's the last Samsung purchase I make. 
45,5 lutego 2026,1,"purchased a Samsung galaxy A2.5 5G mobile through Tesco mobile from day one on a Tesco contract now two years ago a heap of rubbish the various updates have more or less made the phone and a lot of its features un-usable to top it off i was paying the 3rd tier insurance to cover everything and Tesco have just  treated me like rubbish the phone shuts off in the middle of important phone calls, screen freezes up volume automatically goes on mute when its not even being used i have had to several time re implement my contact numbers it decides to delete contacts sometimes three times a week i have missed out on important hospital appointments because of this piece of junk and Tesco's lack of customer service"
46,3 marca 2026,1,"Disappointed in Durability and SupportWe purchased the Samsung MC17T8000CS over-the-range microwave in 2022. After less than three years of normal household use, the door latch mechanism failed. The door no longer clicks closed because the internal latch housing became loose, making the microwave unusable.This is not heavy wear-and-tear but a basic structural component failing prematurely on a mounted appliance that requires professional installation.When contacting Samsung customer support, we were told the warranty is only one year. A ticket number was created and we were referred to an authorized service company. However, they charge $120 just to diagnose the problem, before even providing a repair estimate.For a microwave that is less than three years old, this is extremely disappointing. An over-the-range unit is not inexpensive and should last far longer than this.Unfortunately, both the product durability and the post-purchase support have been disappointing."
47,5 marca 2026,1,"I purchased a Samsung french door refrigerator approximately three years ago and it has experienced repeated major failures.First, the ice maker burnt out. We were initially advised to leave the fridge running even though it was making unusual noises. When we called again because the sounds seemed concerning, we were then told to switch the unit off due to a potential fire risk. When the technician eventually attended, the entire ice-making unit had melted, including the plastic housing. Food had to be discarded during this period.Approximately a year later the compressor failed. It took two weeks for a replacement compressor to be installed.Immediately after the compressor replacement, the fridge/freezer failed again. The freezer stopped freezing even though the display still showed –19 °C, and water inside the freezer remained liquid. The unit also began leaking. As a result, all food in the freezer spoiled again.We reported this via Samsung chat on Sunday and were told a technician would be notified. When we had not heard anything, we called again on Tuesday and were again assured the technician would be contacted. By Thursday we still had not been contacted. When we called the technician directly, they confirmed they had not received any service request until that day.We have recorded a conversation with Samsung in which we were told that once a technician confirms the fridge/freezer is not working, we would be eligible for a full refund and removal of the appliance. I still possess this recording.We are currently still waiting for the issue to be resolved. I would strongly discourage anyone from purchasing a fridge from this company."
48,4 marca 2026,1,Samsung DV90CGC0A0ABEU ruins clothes. Dryer shape forces clothes to front of dryer and lint trap is a grill. Have several hundred pounds of cloths tear.
49,5 marca 2026,2,My samsung fold 7 ia not working! After I bought it last few months it shows a sign of green line on my screen and the main fold screen doesnt have a sound.. complete rubbish.
50,4 marca 2026,1,"Kundenservice definitiv sehr schlecht. Nicht hilfreich, redundant, unorganisiert.Ecosystemwechsel wurde heute beschlossen."
51,4 marca 2026,1,"Somos una empresa que tenemos 2 monitos curvos de 49 pulgadas, el ultimo con un año y en garantia tiene un problema y cuando se contacta con ellos y se abre un caso con la incidencia que tiene, nos indican que tenemos que enviar el Monitor a Madrid con nuestro propio enbalaje. Le informamos que esto tien unas medida de 120 cm x 35 cm, Nosotros NO tenemos cajas tan grandes y adecuadas a la curvatura del monitor, se le indica que estariamos dispuestos a pagar nosostros el transporte de un embalaje que nos proporcione. Se niegan a facilitarnoslo y tambien a dar una solucion factuble. Nos indican es que ellos NO asumen nada y que es nuestro problema. Pesima gestion para garantia de monitor que aun le quedan 2 años. Pesima Marca Samsung y sercvicio. Ya tenemos claro que No se comprara ningun producto de esta marca en nuestras Empresas"
52,4 grudnia 2025,1,"Ik wil graag mijn ervaring delen met een promotie van Samsung, omdat dit voor ons bijzonder frustrerend is verlopen.Bij de aankoop van een Galaxy Z Flip7 werd een promotie aangeboden waarbij je een Galaxy Tab S10 Lite gratis zou ontvangen. Deze actie was voor ons een belangrijke reden om voor dit toestel te kiezen. We hebben onze registratie correct uitgevoerd en kregen ook een bevestiging dat alles was goedgekeurd. Volgens Samsung zou de tablet binnen zeven weken worden verstuurd.Intussen zijn we bijna drie maanden verder en hebben we nog steeds niets ontvangen.We hebben meerdere keren contact opgenomen met de klantendienst. Telkens krijgen we te horen dat de tablet niet op voorraad is en dat men niet kan zeggen wanneer er opnieuw voorraad zal zijn. Ondertussen wordt dezelfde tablet gewoon via de Samsung-webshop verkocht, wat het verhaal nog moeilijker te begrijpen maakt.We worden al weken aan het lijntje gehouden: er worden dossiers geopend, interne aanvragen doorgestuurd en we zouden telkens binnen enkele dagen antwoord krijgen. Dat antwoord komt er echter nooit. Ook op de vraag naar een alternatief of compensatie wordt niet ingegaan.Het is bijzonder teleurstellend dat een grote speler als Samsung een promotie actief gebruikt om een product te verkopen, maar vervolgens niet in staat blijkt om die belofte na te komen of een duidelijke oplossing te bieden.Hopelijk kan deze review ervoor zorgen dat ons dossier eindelijk ernstig wordt genomen, en dat toekomstige klanten beter geïnformeerd worden over hoe dergelijke promoties in de praktijk verlopen."
53,4 marca 2026,1,"Jeg har været så uforsigtig at opgive min mail-adresse til Samsung - og det vælter ind med reklamemail.Og der side til at fravælge flere mail er svært at finde. Og når det lykkes så virker det ikke:""An error occurred.If this problem persists, please contact your Adobe Campaign administrator."""
54,3 marca 2026,1,"Jammer dat een groot concern als Samsung als toeleverancier zich verstopt achter de verkopende partij. Helaas is mijn 55inch TV binnen de garantie defect geraakt en kan deze niet meer gerepareerd worden. Als coulance kan je dan een Credit-nota krijgen. Op zich OK, maar ... waarom niet gewoon repareren? Excuus is dat er geen onderdelen meer zijn...dat voor een 2jaar oude TV? Dus dan optie-2 en de Credit-nota accepteren en dealen met de verkopende partij...niemand kan iets zeggen over de hoogte van de Credit-nota. Via de klanten service krijg ik geen gehoor meer...ik vind dit vreemd! Jammer Samsung een gemiste kans op een positieve review en de zoveelste negatieve review op Trustpilot over jullie support!"
55,3 marca 2026,1,Ich habe mir ein Klapphandy vor zwei Jahren u.einen Monat gekauft .Jetzt habe ich ein Problem .Da ich aus der Garantie bin wird auch keine Kulanzgeleistet ein Handy für 1000 Euro u. dann sowas.Einsteigst sicher mein nächstes Handy wird keinSamsung sei.
56,3 marca 2026,1,"Samsung have their account linked to Google so if you want to sign in to one you must sign into the other also.This can be difficult at times and their ""help desk"" in the America is fixed on very specific issues. I bought my S25 Ultra over a year ago and still can't sign in to my Samsung account.  Based on my experience I can't honestly recommend any Samsung products. "
57,2 marca 2026,1,Superslechte regelingen koop earbuds van 118 euro gebruik ze een week waarna ze er ineens mee stoppen stuur ze op voor onderzoek krijg een mailtje met vochtschade geconstateerd en mag nu nog een 61 euro betalen voor gerepareerde of 37 euro om ze defect terug gestuurd te krijgen en dat voor een mega bedrijf als samsung 
58,1 marca 2026,3,Decent quality tv not bad but not amazing
59,4 listopada 2025,1,Wasted of money.. I have taken a refrigerator on 2023. And the refrigerator compressor has damaged on 2025. I asked them to replace the compressor. They told me that we are not responsible for that. They told me to give charge for compressor...  Really samsung company was my trusted company.  Now I am telling that.. samsung company is worst company ever.. don't buy any product of samsung.. 
60,28 lutego 2026,1,"Shameful!""A photo of the label previously cut out from the product packaging, including the 13-digit barcode and the 15-digit IMEI number. Make sure that the elements are perfectly legible.""I would not have purchased this product without the promotional offer.- If the label is not cut out or is cut out so precisely that it appears not to be cut out, you will not receive the discount.I will continue to report this manipulation to 40 Million Consumers, UFC Que Choisir, France Info, Consumer Reports, the National Consumers League, and the Consumer Federation of America."
61,28 lutego 2026,1,"Don't buy there product phones dont work right problems charging horrible customer service and if I could put 0 stars i would get a appl, HTC, pixel or flip phone anything but Samsung worst product ever"
62,1 marca 2026,1,"Nie wieder, der Fernseher ist der letzte Schrott!"
63,1 marca 2026,1,The worst company you could ever deal with. They do everything to avoid meeting their obligations to customers. I would advise anyone to think twice about purchasing from them as they just don’t help their customers. I have spent months trying to resolve an issue and they just keep asking for more information with the hope that I will just give up and they won’t have to meet their obligations. 
64,12 lutego 2026,5,
65,27 lutego 2026,5,
66,23 lutego 2026,1,"Erschütternd, was ein so großes Unternehmen unter Service versteht.Völlig hilflose und inkompetente Mitarbeiter und dazu ein lächerlicher KI- Chat der wirr in die Gegend chatet.Das Produkt, ein GQ48S90F TV an sich gut, mit zwanghafter Verknüpfung zu Haushaltsgeräten und kostenpflichtigen HD+ Zwang.Zum Glück lässt sich dieser Unsinn nach längerer Suche abschalten, den ein Fernseher sollte eigentlich in erster Linie zum Fernsehen da sein.Sollte Samsung weiterhin eine Spitzenposition einnehmen wollen,Muss sich gravierend was ändern."
67,27 lutego 2026,2,"j 'ai achetais il y a 10 mois le robot jet combo Samsung à 1599 euros,A ce prix ,je m 'attendais avoir un superbe robot ,hélas ,j 'ai vite déchanté ,au bout de 10 mois seulement ,il ne fonctionné plus ,retour à l 'usine où il ont changé la carte mère ,le lidar ,la batterie et les roues ,qu'elle déception !!!!!!ça serait un robot à 300 euros ,je dirais ça passe ,mais    à 1600 euros ,non non non .... là ça ne passe pas ,et maintenant je n 'arrive plus à le régler comme il faut ,il travaille jusqu'à épuisement de la batterie ,et je n 'arrive pas  à trouver ou remédier à cela ,si quelqu'un sait ???? ,en plus soit disant il fait aussi les tapis ,sauf que le mien quand il monte sur le tapis ,il laisse toutes ses poussières , vraiment j 'étais très Samsung  ,mais là  c'est fini ,,"
68,28 lutego 2026,1,"Na jarenlang trouwe klant te zijn geweest, is dit mijn laatste Samsung-toestel ooit. Het inruilprogramma (via partner L8P/Evollis) is niets minder dan een schimmige manier om klanten achteraf geld af te troggelen.​Mijn toestel was in topstaat, maar er werd achteraf €182 extra geclaimd op basis van een microscopisch puntje op de metalen behuizing. Ondanks officieel bezwaar (Ticket CMM-61268) wordt er totaal niet geluisterd. De 'Backoffice' van Samsung stuurt standaard kopieer-plakmails over 'schermschade en dode pixels', terwijl mijn scherm perfect was. Ze kijken niet eens naar je dossier.​De communicatie is een ramp: de partner blokkeert je e-mailadres voor verweer en Samsung verschuilt zich achter een muur van onkunde. Ik heb uiteindelijk betaald om van het constante gedreig met incassoprocedures af te zijn, maar de prijs die Samsung betaalt is groter: een trouwe klant die nooit meer terugkomt.​Mijn advies: Trap niet in de inruilbeloftes. Ze lokken je met een hoge korting en plunderen je bankrekening achteraf met verzonnen schadeclaims. Schandelijk voor een wereldmerk."
69,24 lutego 2026,1,"Samsung has poor Customer Service & Support - unhelpful support staff, ghosted escalations, re escalations and difficulty reaching resolutions for ongoing issues.The agent called back with noisy party background noises and offered no resolution. My washer still cannot be used  after 1st repair. No updates, no follow-up from Samsung. "
70,27 lutego 2026,1,"SamsungJeg skriver for at klage over håndteringen af min reklamation vedrørende min Samsung DV5000C tørretumbler (model DV90DG52A0AEEE), som jeg købte hos jer den 04.10.2024 for 6.595 kr.Allerede efter ca. 2 måneder begyndte maskinen ikke at fungere korrekt. Jeg kontaktede Elgiganten og blev henvist til at kontakte Samsung direkte, hvilket jeg undrede mig over, da produktet er købt hos jer.Siden da har der været tekniker ude i alt tre gange, hvor der hver gang er blevet udskiftet dele, og jeg har fået oplyst, at det er dækket af garantien. Problemet er dog fortsat efter hver reparation.Den 27.02.2026 kom endnu en tekniker, som nu pludselig oplyser, at skaden ikke er dækket af garantien pga. manglende vedligeholdelse, og jeg er blevet pålagt en regning på 945 kr. Dette afviser jeg fuldstændigt.Jeg har ikke selv foretaget nogen form for indgreb i maskinen. De eneste, der har åbnet og udskiftet dele, er jeres/samsungs teknikere. Hvis der var problemer med vedligeholdelse eller filter tidligere, burde dette være blevet oplyst ved de første tre besøg – hvilket det ikke blev. Tværtimod blev jeg forsikret om, at det var en garantisag.Jeg finder det uacceptabelt, at jeg nu beskyldes for manglende vedligeholdelse og pålægges en regning, når maskinen har haft samme fejl gentagne gange siden købet.Jeg forventer:	1.	At regningen på 945 kr. annulleres.	2.	At sagen behandles som en reklamation.	3.	At der enten foretages en korrekt reparation, omlevering eller tilbagebetaling i henhold til købeloven.Jeg ser frem til en hurtig og seriøs behandling af sagen.I Danmark har du 2 års reklamationsret efter købeloven – og det er butikken, altså Elgiganten, der har ansvaret. De må ikke bare sende dig videre, hvis der er fejl på varen."
71,27 lutego 2026,1,"Ho ricevuto 2 email in 2 giorni con la promozione per l'acquisto dei nuovi galaxy S26, ""a partire da 539 euro"" scrivono... poi quello che costa meno è 1029..."
72,25 lutego 2026,1,"Samsung Galaxy a55 5g, noch nicht mal anderthalb Jahre alt, kaputt erst Garantiefall und in der Werkstatt repariert, dann nach einer Woche wieder kaputt, angeblich eigenverschuldet, trotz des gleichen Fehlers. Diesmal sollte ich 130 Euro zahlen. Ich rate dringend davon ab, das Handy in Eschborn reparieren zu lassen. Meiner Meinung nach haben sie das Handy nicht repariert, sondern lediglich den Cache gelöscht. Samsung werde ich nie wieder kaufen! "
73,27 lutego 2026,1,"Terrible customer service. Purchased SAMSUNG MC28H5013AS/EU Combination Microwave - Silver. From the very first use steam and condensation formed between the two panes of glass on the front door. I am unable to access this to clean it. Seems like a faulty seal. No big deal you would imagine. Many reviews on the Currys website state the same problem. Currys say they will replace if they get an ""uplift number"" from Samsung. Jumped through hoops to contact Samsung. They tried to say it was normal. Sent them videos of the problem happening in real time. Told me I was cooking food with too high a water content!  Then they offered to repair it for £169! Absolute crooks. I haven't used the microwave since. It is also a combi oven and I have concerns about bacteria building up between the panes of glass. Terrible terrible customer service. I will never buy Samsung again."
74,27 lutego 2026,1,"Производство телефонов остановилось 5 лет назад. С тех пор выпускают один и тот же телефон каждый год меняя процессор. Камеры на телефонах отвратительные. s26+ стоит на 500 евро дороже s25+, но не имеет ни каких преимуществ кроме немного более быстрого процессора. Отвратительные аккумуляторы. Отвратительные дисплеи с ШИМ. Неадекватные цены за телефон, который имеет плохую позапрошлогоднюю камеру и снимает как китайский телефон за 500 евро при цене в 1500. Нагрев нереальный даже в соцсетях. Ждал S26+, а оказалось, что зря ждал, ни чего не поменялось совсем. Очень медленная зарядка. Так же мониторы отвратительного качества. Эргономика отвратительная. "
75,27 lutego 2026,1,"Samsung S26 meteen na lancering aangekocht. Promotie 60 euro goedkoper. Na 1,5 dag krijg ik mail met kortingscode bij aankoop. Blijk ik toestel 160 euro goedkoper te kunnen krijgen. Schandalig,  snelle trouwe koper wordt 100 euro benadeeld. Oppassen!En het wordt steeds erger, bewijs aanleveren op whatsapp, die leggen het intern neer, intern vraagt om bewijs in WhatsApp enz..Kortom, levering ongeopend retour sturen ( mensen en transporten aan het werk houden) en yorstel opnieuw bestellen en laten leveren voor 100 goedkoper.  Haha, wat een marketing  van een wereldmerk."
76,27 lutego 2026,1,"Samsung España es la peor tienda, en cuanto a atención al cliente y cumplimiento de las promociones.Anulan los códigos de descuento con vigencia, no cumplen las políticas de promoción."
77,27 lutego 2026,5,Amazing display colors and fast phones! Their TV's are top notch! 
78,25 lutego 2026,1,"This last October, my 3-year-old Samsung phone died - a battery issue caused a dead screen. I went through hell trying to replace it because logging into the Samsung site (and many other necessary sites like my bank and college websites) requires text verification. Customer service was unhelpful at best. I ended up buying another Samsung phone due to lack of other financing options. Yesterday morning, February 25th, 2026, I wake up to my new phone having been DISABLED by Samsung - only able to press a button for a customer service line. After the first few tries to get through their horrible, circular automated system, I finally got a rep and learned it was due to a bill for the amount of the trade-in credit, because I'd changed my mind on sending it in, having realized I should keep it as a back-up for future problems with my new phone. I had thought the trade-in credit would just be reversed and added to the amount I owed monthly. THE ONLY THING SAMSUNG HAD DONE TO NOTIFY ME OF THIS CHARGE WAS TO SEND A FEW EMAILS BACK IN NOVEMBER, WITH VAGUE SUBJECT LINES THAT LED ME TO BELIEVE THERE WAS A PROBLEM WITH MY MONTHLY PHONE PAYMENT THROUGH AFFIRM. They never used any other form of communication to inform me of this $150 charge, such as a text message or a physical letter, and they never even sent any further emails after November. Over three months ago! Then they thought it would be a great idea to just suddenly and completely take away my ability to use my phone, which, as we all know, is now an essential device in many aspects of our daily lives! With zero notification or warning! Over just $150!!!I had to spend FIVE HOURS on the phone with various reps yesterday, including a supervisor (who turned out to actually be LESS knowledgeable and helpful than one of the regular reps), and getting hung up on multiple times and having to start all over again, finally getting info on how to pay the $150, paying it, and being told my phone would be unlocked within 2-4 hours. Hahaha, of course it wasn't. When I again called that one number I could call from my phone, after four hours, I was told the department I needed to be transferred to was closed for the night and I had to call back this morning.But wait, there's more! When I called back this morning, thinking that at least this time the phone disabling/lock would finally be resolved quickly and easily, I was told that the rep from last night had been wrong or lied to me, that their department was the one who needed to initiate the unlocking process, and that it would take 24-72 hours. !!! I explained the whole issue yet again, how drastically it was impacting my life, got transferred to a supervisor, and now (after another hour-plus on the phone) I'm told I'll receive an email with the PIN to unlock the phone within 24 hours. Lol. I'm not holding my breath. And I'm definitely never, ever buying anything made by Samsung again. This formerly reputable company now seems to believe it can treat its customers like garbage and continue to be a profitable business, so I'm out."
79,5 lutego 2026,1,"Samsung s25 met een gratis smartwatch, Samsung maakt mooie reclame  maar maakt niks waar we hebben alles ingevuld . Maar we krijgen alleen maar reclame van ze binnen maar geen smartwatch wat beloofd is .Wat een .......Laat dit een waarschuwing zijn voor andere mensen "
80,1 grudnia 2025,5,"Beeldscherm van mijn Samsung tv was kapot. Contact gehad met Samsung helpdesk, tv werd opgehaald door reparateur en netjes gemaakt weer terug afgeleverd. Dit viel binnen de garantie. Heel blij mee! "
81,26 lutego 2026,1,Bei der Bestellung wurden wegen eines Systemfehler Rewards plus der dazugehörige Gutschein nicht gebucht.Sämtliche Kommunikation danach und höfliche Anfragen wie das gelöst werden kann wurden abgeblockt.Kundenservice sieht anders aus. Schade was aus Samsung geworden ist.
82,26 lutego 2026,1,"Je mets 1 étoile car je ne peux pas mettre zero... J'ai acheté il y a 5 ans et 2 mois un frigo américain assez haut de gamme. Il est tombé en panne de compresseur 2 mois après la fin de sa garantie de 5 ans. Samsung me dit: ne vous inquietez pas, le compresseur est garantie 10 ans. On vous envoie un partenaire pour établir que la panne est bien le compresseur et vous ne paierez ensuite que la main d'oeuvre et déplacement. Je fais venir leur réparateur agréé, je paye 100€ leur visite, et je reçois leur devis: 601 euros avec le compresseur étant fourni au titre de la garantie 10 ans compresseur!!!J'ai contacté Samsung pour chercher une solution ou une prise en charge partielle car il n'est pas normal qu'un compresseur lâche au bout de 5 ans...   C'est une panne bien prématurée mais Ils ne veulent rien faire pour moi. Je déconseille fortement Samsung maintenant."
83,26 lutego 2026,1,"Meegedaan aan een promotie, maar het verzonden product heb ik nooit mogen ontvangen.Nu al weken in de clinch met de klantenservice, nu wordt het opgepakt door Special Cases, maar nog altijd geen oplossing.Ik heb een oplossing geboden, wordt niet op gereageerd.Het is echt frustrerend dat zoiets als dit weken, als het niet maanden is, moet duren.Valt enorm tegen."
84,26 lutego 2026,1,Scam! Worst devices! Cannot restart and use! Stay away and buy others!!
85,26 lutego 2026,2,"I primi condizionatori Samsung in pompa di calore c'è ne qualcuno ancora in funzione,il windfree di ultima generazione sembra che stiano scendendo come affidabilità a causa dei numerosi e seri problemi di funzionamento ..."
86,26 lutego 2026,1,Péssimo serviço pós-venda de grandes electrodomésticos.
87,26 lutego 2026,1,"Zero assistenza e pessima assistenza. Dopo aver speso 80mila euro per un impianto di climatizzazione centralizzato Samsung modello AM140AXVAGH ci siamo ritrovati improvvisamente al freddo, 18 mesi dopo l'installazione nei nostri uffici, Sono passati 14 giorni ed oggi siamo ancora costretti ad usare le stufette ed i cappotti in ufficio. E nessuno che ci contatti per darci una data in cui il problema speriamo si possa risolvere. Assolutamente da non consigliare "
88,22 stycznia 2026,1,"I bought this item on Best Buy's website. Samsung - 17.6 cu. ft. Top-Freezer Refrigerator with FlexZone - Stainless Steel . Don't buy Samsung products, cheap quality, high price. I bought a Samsung Refrigerator in September 2023 for $950.00 from Best Buy's website because I wanted to replace my white Kenmore Refrigerator with a Stainless Steel refrigerator. On January 2026, the top freezer and bottom refrigerator completely stopped cooling costing me hundreds in loss of food and major inconvenience, the refrigerator was down for a week. Luckily, I still had my white Kenmore Refrigerator in the garage and was able to still have a refrigerator I could use but had to go up and down stairs for every item I needed. I called Samsung customer service and they sent a Technician out which took a couple days and the technician said that the Inverter Board and Invertor compressor had gone bad. I was charged $140 for the diagnosis and another $150 to replace the damaged parts. I requested that Samsung cover the costs since this was clearly manufacturer defects and poor quality if after only 2 years the Refrigerator already stopped working? Ridiculous. I requested 2 times that a Samsung manager call me to refund me the cost for the repair and no one ever called me. I will never buy Samsung products again. I have always bought Kenmore Refrigerators and never had a problem with their quality, in fact the Kenmore still works great after 10 years! "
89,26 lutego 2026,1,Bought a brand new A17 Samsung phone today and its the worst mistake I've made all year. Fails all the time (especially with QR codes.)Will never use them again!
90,25 lutego 2026,1,"Service issues are  taking over 2 months to resolve , Should have bought a SONY "
91,24 lutego 2026,1,"**Title: Paid for Express Delivery on Feb 24 - Still No Phone! Team Leader Ahmed is a Complete Liar!**I ordered via website  Samsung Galaxy A17 on February 24, 2026 at 1:45 AM with order number PK260224-03407490 and I paid extra for express delivery because I needed the phone the same day as a gift.Before placing my order I personally called multiple Samsung franchises in Karachi and I also confirmed through live chat and helpline that the product was available and everyone confirmed it was in stock so I trusted Samsung and placed my order.At 3:06 PM on February 24 the call center called me for order confirmation and casually told me that my order would not be delivered on February 24 even though I had paid for express delivery and when I asked to speak with the team leader they connected me to Ahmed.Ahmed first lied to me by saying the product was not available but when I told him I had confirmed availability from multiple sources before ordering he changed his story and gave me a new lie that no rider was available in Karachi which is completely false because Karachi is the biggest city in Pakistan with thousands of riders.Then Ahmed made a definite commitment to me that I would receive my order by the first half of February 25 and I believed him because he was a team leader but February 25 passed and I received nothing no delivery no call no update absolutely nothing.On February 26 I called the helpline at 042-35710105 four times at 3:23 PM 3:48 PM 3:50 PM and 4:05 PM and each time I asked to speak with Ahmed and each time they told me he would call me back but no callback ever came and now Ahmed is hiding from me.Samsung took my money for express delivery and did not deliver and they confirmed product availability before order but lied after order and their team leader made false commitments and broke every single one and now they are avoiding communication and hiding from accountability.I demand immediate delivery of my phone which is now more than two days late and I demand full refund of my express delivery charges and I demand compensation for the mental distress caused because my gift occasion was ruined and I demand a written apology and I demand that Ahmed should resign because leaders who lie and hide do not deserve to be team leaders.If this is not resolved in 48 hours I will go to Consumer Court of Pakistan and I will complain to Samsung Headquarters in South Korea and I will expose this on every social media platform and consumer forum and media outlet.My advice to other customers is do not trust Samsung Pakistan express delivery and do not trust their availability confirmation and definitely do not trust anything Team Leader Ahmed says because his word means nothing.My order number is PK260224-03407490 and Samsung Pakistan you need to fix your systems and fire dishonest employees who destroy your brand reputation.**Date of experience:** February 24 to 26 2026**Status:** Still unresolved still waiting still getting lies---*#SamsungPakistan #SamsungScam #ExpressDeliveryFraud #CustomerServiceFail #TeamLeaderAhmedLiar*"
92,23 lutego 2026,1,"Réfrigérateur reçu avec une porte endommagée.Samsung me propose l’échange, mais pour cela ils doivent réceptionner le réfrigérateur dans leurs entrepôts avant de m’en renvoyer un.Délai estimé entre l’enlèvement et la réception d’un nouveau 3 semaines.Donc 3 semaines sans réfrigérateur! Non envisageable.Je dois donc garder mon réfrigérateur endommagé."
93,13 lutego 2026,1,"brought AC not get customer care support, no proper installation and demonstration. cant use AC "
94,25 lutego 2026,5,"Vino el técnico a cambiar una pieza de la caldera, sólo tengo que alegar la tardanza muchos dias sin agua caliente en invierno es terrible, pero una vez llegó el técnico quiero destacar la buena profesionalidad, el buen trato y educación impecable"
95,25 lutego 2026,1,"Ho un problema alla mia lavatrice samsung, ho contattato l'assistenza per ben due volte, mi hanno detto che il centro assistenza mi avrebbe chiamato per prendere un appuntamento, ma a distanza di due giorni non ho sentito nulla. Poi li ricontatto e mi dicono che il centro assistenza assegnatomi è a 90 km da casa mia. Chiedo quanto costerà e non me lo sanno dire. Contatto il centro di assistenza incaricato e nemmeno risponde al telefono. Pessimo pessimo servizio. Tornassi indietro non ricomprerei un elettrodomestico samsung.  Ho chiamato un tecnico della zona, ma mi dice che poi per i pezzi di ricambio, se non si è centri autorizzati è un problema. Non avevo considerato questo aspetto al momento dell'acquisto e nessuno mi aveva detto che nella mia zona centri autorizzati non ci sono e che è così difficoltoso poi intervenire da parte di chi non è autorizzato."
96,16 lutego 2026,1,"J’ai acheté un four haut de gamme sur le Samsung e-shop le 30 septembre 2025. Peu de temps après l’installation, j’ai remarqué que le rail latéral droit était instable lorsque je faisais coulisser les grilles.Le 16 février, lors de mon premier cycle de pyrolyse, j’ai suivi scrupuleusement les instructions du manuel Samsung, qui stipule de retirer les deux grilles latérales avant le cycle. En soulevant la grille droite comme indiqué dans la vidéo officielle Samsung, la vis de fixation est tombée. Depuis, elle tourne dans le vide, révélant un filetage défectueux sur le support.J’ai immédiatement contacté Samsung et envoyé une vidéo montrant clairement le problème. Le 23 février, j’ai reçu cette réponse :""Suite à l'analyse de la vidéo transmise à nos experts techniques, nous avons reçu leur évaluation qui établit que le dysfonctionnement est consécutif aux opérations de démontage et remontage des grilles. Par conséquent, cette situation ne peut malheureusement pas faire l'objet d'une prise en charge au titre de la garantie.""Cette réponse est inacceptable. Nous avons strictement suivi les instructions du fabricant: aucun problème n’est survenu avec la grille latérale gauche, seulement avec la droite.J’ai fourni à Samsung toutes les preuves montrant que la pyrolyse nécessite l’enlèvement de toutes les grilles, mais ils refusent toute prise en charge, invoquant leur diagnostic technique.Le manuel Samsung indique : “Retirez tous les accessoires, y compris les rails latéraux.”La vidéo officielle précise: “Appuyez sur la partie supérieure de la grille latérale gauche, abaissez-la d’environ 45°, puis tirez pour la retirer. Faites de même avec la grille latérale droite.”Au lieu d’envoyer un technicien constater le défaut, Samsung rejette toute responsabilité. Pour un appareil moins de 6 mois, c’est inadmissible. Il s’agit clairement d’un défaut de fabrication, et Samsung se décharge totalement de ses obligations.Bien que les produits électroménagers Samsung soient généralement bons, je ne recommande pas d’acheter directement sur leur site. En cas de problème, le service après-vente devient rapidement un parcours du combattant."
